DateStampTime,MarkLabel,A7,A79
2021-11-03 19:56:15,true,-58,-70
2021-11-03 19:58:15,true,90,90
2021-11-03 20:00:15,false,-72,-15
2021-11-03 20:02:16,false,-45,44
2021-11-03 20:04:16,false,73,70
2021-11-03 20:06:16,false,14,-64
2021-11-03 20:08:16,false,-15,-65
2021-11-03 20:10:17,false,-54,-14
2021-11-03 20:12:17,false,-4,-84
2021-11-03 20:14:17,false,-16,92
2021-11-03 20:16:17,false,99,32
2021-11-03 20:18:18,false,-53,76
2021-11-03 20:20:18,false,99,-23
2021-11-03 20:22:18,false,5,-33
2021-11-03 20:24:19,false,64,47
